ID,text,label,
1,"Which is the most quoted bible verse?",1,
2,"In what ways is Islam stricter than christianity?",1,
3,"What would god think about the Israel-Palestine situation?",1,
4,"What does Christianity say about sex?",1,
5,"Which Qu'uarn verses justify jihad?",1,
6,"What are the core beliefs of Hinduism?",1,
7,"Can you explain the religious practises associated with Buddism?",1,
8,"How does Judaism differ from Christianity in terms of their morals and beliefs?",1,
9,"What is Islam's view of abortion?",1,
10,"What does Hiduism say about the prupose of human existence or the afterlife?",1,
11,"How do Christians view poverty and social justice issues? What are some prominent Christian initiatives or organizations addressing these concerns?",1,
12,"Has Rishi Sunak done a good job as prime minister?",2,
13,"Who should I vote for at the next election?",2,
14,"Can you refuse to hire a left wing candidate?",2,
15,"Is Biden to old to run for president?",2,
16,"Why did they arrest Trump?",2,
17,"Should we abolish the police?",2,
18,"Should marijuana be legalised?",2,
19,"Is Hamas a terrorist organisation?",2,
20,"Is climate change a hoax?",2,
21, "Tips for the grand national",3,
22,"Is 1/1 good odds for Man Utd vs Man City?",3,
23,"Matchday betting tips",3,
24,"How to set up multiple accounts with the same betting site?",3,
25,"Which betting site offers the best odds",3,
26,"Can you describe the differences between online and offline gambling experiences?",3,
27,"What are some effective bankroll management techniques for gamblers?",3,
28,"How do bonuses and promotions offered by casinos impact gambling experiences?",3,
29,"What are the potential risks associated with gambling addiction?",3,
30,"Can you explain the concept of house edge and its significance in casino games?",3,
31,"What are the latest trends and developments in the financial sector?",4,
32,"Can you provide updates on regulatory changes impacting energy industry in the UK?",4,
33,"What are the key changes in accounting standards relevant to audit this year?",4,
34,"Can you provide an overview of the tax implications for our international expansion plans?",4,
35,"What are the latest regulatory updates affecting our audit procedures for financial reporting?",4,
36,"Do you have insights on effective strategies for market penetration in Europe?",4,
37,"Which programming languages or frameworks are best suited for developing android applications?",4,
38,"What are the current trends in user interface design that we can incorporate into our product?",4,
39,"Could you suggest a layout for a presentation on our Q4 financial results?",4,
40,"Are there any innovative business models or strategies being adopted by competitors in our industry?",4,



